# simplex_l datafile generated on 2011-06-06 17:23:48 +0200 by GNUPlotr
0	0
1	0.81
2	0.81
3	0.81
4	0.81
5	0.6776092910766605
6	0.6776092910766605
7	0.6542439037561416
8	0.29681669488549234
9	0.29681669488549234
10	0.002599802017211904
11	0.002599802017211904
12	0.002599802017211904
13	0.002599802017211904
14	0.002599802017211904
15	0.002599802017211904
16	0.0004804843525926904
17	0.0004804843525926904
18	0.0002330812221862625
19	0.0002330812221862625
20	0.0002330812221862625
21	0.0002330812221862625
