# simplex_g datafile generated on 2011-06-06 17:23:48 +0200 by GNUPlotr
0	0
1	16.140625000000004
2	9.670351562500002
3	1.94342041015625
4	1.94342041015625
5	0.81
6	0.81
7	0.6776092910766605
8	0.6542439037561416
9	0.4354126884043217
10	0.29681669488549234
11	0.25554227888584047
12	0.11786484256386752
13	0.038575556911527975
14	0.009937577880919196
15	0.0075330972322262485
16	0.002599802017211904
17	0.0005038331228206497
18	0.0004804843525926904
19	0.00025219216318478766
20	0.00025219216318478766
21	0.00023758223416849107
